fluid,topo,case,Re,source,G,cF_meas,darcy_frac,A_used
air,Diamond,工况2,916.7976264300595,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,7.2727272727272725,431.1060799713939,0.12912147746682656,0.000594
air,Diamond,工况3,1365.6343461013616,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,10.90909090909091,457.80285723614423,0.08569882778190922,0.000594
air,Diamond,工况4,1815.5714407967805,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,14.545454545454545,467.73650435875317,0.06455114834898168,0.000594
air,Diamond,工况5,2266.732921935153,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,18.181818181818183,460.218692032284,0.05318614729334342,0.000594
air,Diamond,工况6,2708.187048280329,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,21.81818181818182,452.2102631855562,0.04566468421281712,0.000594
air,Diamond,工况7,3153.7640748957333,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,25.454545454545453,444.3343881272403,0.04013910690443498,0.000594
air,Diamond,工况8,3608.8047922956894,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,29.09090909090909,434.6716806073655,0.03601185482611747,0.000594
air,Diamond,工况9,4037.7532420233974,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,32.72727272727273,431.39699303682346,0.03254704047995005,0.000594
air,Diamond,工况12,5376.63108142294,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,43.63636363636364,419.7383975196506,0.0253090889732777,0.000594
air,Diamond,工况13,5805.114393549947,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,47.272727272727266,418.0001991782434,0.02358021892485084,0.000594
air,Diamond,工况14,6259.46463853593,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,50.90909090909091,421.6476843513525,0.02172073286187212,0.000594
air,Diamond,工况15,6740.392670147788,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,54.545454545454554,425.1230135399785,0.02004042294977679,0.000594
air,Diamond,工况16,7221.7597013040995,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,58.18181818181818,430.7691718373513,0.018488692238734127,0.000594
air,Diamond,工况17,7714.110678153627,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,61.81818181818182,433.49306193897075,0.017222091944206087,0.000594
air,Diamond,工况18,8196.014122824838,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,65.45454545454545,439.71021967903164,0.016000159250088093,0.000594
water,Diamond,工况1,41.96779000098739,,13.933939393939395,3742.772431020379,0.2717044125035707,0.000594
water,Diamond,工况2,86.09195823782336,,28.057912457912458,1695.6625160805293,0.2864368751505262,0.000594
water,Diamond,工况3,128.02307535248602,,41.63973063973064,1790.9152940128852,0.20355845281072363,0.000594
water,Diamond,工况4,178.72867199902615,,55.97609427609428,1545.1766907657286,0.17504723017027798,0.000594
water,Diamond,工况5,223.23002695366938,,69.92121212121212,1530.1622462116206,0.1464350425459967,0.000594
water,Diamond,工况6,289.023041789104,,83.67070707070707,1742.4569861307411,0.10423167194306483,0.000594
water,Diamond,工况7,352.05845147388686,,97.92323232323233,1475.6306916513713,0.10136529060180097,0.000594
