topology,case,included,source,sheet,excel_row,exclusion_reason,u_mps,u_min_mps,u_max_mps,dp_floor,duplicate_row
Diamond,工况1,False,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,3,dp_floor,,7.656604926203154,22.759887982116293,True,False
Diamond,工况2,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,4,included,7.656604926203153,7.656604926203154,22.759887982116293,False,False
Diamond,工况3,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,5,included,10.910727345441144,7.656604926203154,22.759887982116293,False,False
Diamond,工况4,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,6,included,13.460454547037141,7.656604926203154,22.759887982116293,False,False
Diamond,工况5,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,7,included,15.556898004367824,7.656604926203154,22.759887982116293,False,False
Diamond,工况6,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,8,included,17.219168309293266,7.656604926203154,22.759887982116293,False,False
Diamond,工况7,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,9,included,18.51531208698468,7.656604926203154,22.759887982116293,False,False
Diamond,工况8,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,10,included,19.587912847507734,7.656604926203154,22.759887982116293,False,False
Diamond,工况9,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,11,included,20.48073679553624,7.656604926203154,22.759887982116293,False,False
Diamond,工况10,False,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,12,duplicate_row,,7.656604926203154,22.759887982116293,False,True
Diamond,工况11,False,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,13,duplicate_row,,7.656604926203154,22.759887982116293,False,True
Diamond,工况12,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,14,included,22.401504672081277,7.656604926203154,22.759887982116293,False,False
Diamond,工况13,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,15,included,22.742318820275525,7.656604926203154,22.759887982116293,False,False
Diamond,工况14,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,16,included,22.759887982116293,7.656604926203154,22.759887982116293,False,False
Diamond,工况15,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,17,included,22.69809300416385,7.656604926203154,22.759887982116293,False,False
Diamond,工况16,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,18,included,22.387806844339092,7.656604926203154,22.759887982116293,False,False
Diamond,工况17,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,19,included,22.22558586494548,7.656604926203154,22.759887982116293,False,False
Diamond,工况18,True,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,Sheet1,20,included,21.92903975479199,7.656604926203154,22.759887982116293,False,False
